datapublished,name,description,provider,url,,,,
2019-02-24T12:44:00.0000000Z,"5 dead in Kashmir, shops stage boycott of crackdown by <b>India</b>","SRINAGAR, <b>India</b> - Three rebels ... and enforced a security lockdown in its downtown area in anticipation of <b>protests</b> and clashes. Carrying automatic rifles and wearing <b>riot</b> gear, soldiers and police erected iron barricades and laid razor wire on roads ...","[{'name': 'MSN', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_0cfcddaa71cae000b74e3bf52bc84d78&pid=news'}}, '_type': 'Organization'}]",https://www.msn.com/en-ca/news/world/kashmir-shops-shut-down-to-protest-indian-crackdown/ar-BBTYFlv,,,,
2018-02-20T18:07:00.0000000Z,<b>Justin Trudeau in India: ‘Khalistan</b> 2.0’ is Not What You Think,"There are no prizes to be won for understanding <b>India</b>’s sensitivities: not counting the carnage at the Golden Temple and the 1984 <b>riots</b> ... that allows them to fuse other <b>protest</b> cultures, like hip-hop, with the <b>political</b> heritage of their parents.","[{'name': 'BloombergQuint', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_66930f12ca40193eb4ad3d43f6cd2531&pid=news'}}, '_type': 'Organization'}]",https://www.bloombergquint.com/opinion/2018/02/20/opinion-justin-trudeau-in-india-khalistan-sikh-diaspora-indo-canada-ties-1984-riots,,,,
2018-01-25T04:25:00.0000000Z,<b>Riots</b> Roil <b>India</b> Ahead of <b>Controversial Movie Release</b>,"<b>Riots</b> broke out in cities across <b>India</b> ... Many cities have also increased security around movie theaters. <b>Protests</b> over books, films and writings which Hindu or Muslim groups find offensive are not new <b>in India</b>. American Indologist Wendy Doniger&#39;s book ...","[{'name': 'Voice of America', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_9ef8217ce2d3d5d69b5f508ebed0f79b&pid=news'}}, '_type': 'Organization'}]",https://www.voanews.com/a/riots-roil-india-ahead-controversial-movie-release/4222535.html,,,,
2018-04-22T18:01:00.0000000Z,The <b>politics</b> of fasting <b>in India</b> after Gandhi,"Clearly, given the state of affairs across the world and <b>in India</b>, Gandhi’s message of non-violent <b>protest</b> makes more sense today. Anil Padmanabhan is executive editor of Mint and writes every week on the intersection of <b>politics</b> and economics.","[{'name': 'Mint', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_e3f5b5599888e2963fb8345a1990017f&pid=news'}}, '_type': 'Organization'}]",https://www.livemint.com/Opinion/LTsZp3N9hhATcu9TxY8FEN/The-politics-of-fasting-in-India-after-Gandhi.html,,,,
2018-12-05T22:07:00.0000000Z,Indian Cop Killed by ‘Cow Vigilantes’ as Hindu Nationalists <b>Riot</b>,A violent <b>protest</b> by Hindu nationalists over cow deaths <b>in India</b>’s most populous state has led to the murder of a police officer in an incident that could have broader <b>political</b> impact ahead of <b>India</b>’s election next year. Police officer Subodh Singh ...,"[{'name': 'Bloomberg L.P.', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_547fa6d5f7b56fc1176cbdaadbcad3bc&pid=news'}}, '_type': 'Organization'}]",https://www.bloomberg.com/news/articles/2018-12-05/indian-cop-killed-by-cow-vigilantes-as-hindu-nationalists-riot,,,,
2019-01-04T17:17:00.0000000Z,‘Women’s Wall’ thrice the length of Singapore’s coastline is standing up against patriarchy <b>in India</b>,"The peaceful <b>protest</b> was organised by the ruling party, CPI(M) and included members from more than 176 other socio-<b>political</b> organisations ... hill shrine to perform ‘purification rituals’. <b>India</b>’s Prime Minister, Narendra Modi, appears to have ...","[{'name': 'Business Insider India', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_f3d87201e6dd690838bd2404b7077443&pid=news'}}, '_type': 'Organization'}]",https://www.businessinsider.in/Womens-Wall-thrice-the-length-of-Singapores-coastline-is-standing-up-against-patriarchy-in-India/articleshow/67350814.cms,,,,
2018-12-26T08:31:00.0000000Z,Narendra Modi&#39;s got a farmers problem,"The <b>protesters</b> were demanding <b>political</b> action in response to the deep crisis <b>in India</b>&#39;s countryside ... During the summer of 2017, <b>protests</b> and <b>riots</b> erupted in several rural areas, and in Mandsaur city in BJP-ruled Madhya Pradesh state, six farmers ...","[{'name': 'Al Jazeera English', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_29ad67539580a95cda82bfc29bc3dba7&pid=news'}}, '_type': 'Organization'}]",https://www.aljazeera.com/indepth/opinion/narendra-modi-farmers-problem-181218114836685.html,,,,
2019-03-15T08:53:00.0000000Z,<b>India</b>’s Agrarian Crisis: Dismantling ‘Development’,"And when increasing mass surveillance or widespread ideological attempts to discredit and smear does not secure compliance or dilute the power of <b>protest</b>, brute force is on hand. <b>India</b> is currently ... driven by <b>political</b> as well as ecological factors ...","[{'name': 'CounterPunch', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_66f7befc678e67fc8f53e469ef2d5ebe&pid=news'}}, '_type': 'Organization'}]",https://www.counterpunch.org/2019/03/15/indias-agrarian-crisis-dismantling-development/,,,,
2018-11-25T09:43:00.0000000Z,Tens of thousands <b>protest</b> <b>in India</b> for controversial Hindu temple,"AYODHYA, <b>INDIA</b> (AFP) – Tens of thousands of Hindu hardliners rallied Sunday (Nov 25) for a temple to be built at a disputed Indian holy site, where an ancient mosque was razed in 1992 sparking deadly <b>riots</b>. Huge crowds of saffron-clad <b>protesters</b> ...","[{'name': 'The Straits Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_2f00de0769c1a5030e33ee100a8f6ee0&pid=news'}}, '_type': 'Organization'}]",https://www.straitstimes.com/asia/south-asia/indian-town-of-ayodhya-tense-as-thousands-of-hindus-gather-near-disputed-religious,,,,
2018-03-05T03:44:00.0000000Z,<b>Protests</b> rock Kashmir after deadly shooting by Indian troops,"SRINAGAR, <b>India</b> (AP ... and repeated public <b>protests</b> against Indian rule. The authorities had put parts of the highly militarized region under lockdown after the late Sunday night shooting, deploying soldiers and <b>riot</b> police, shutting schools and ...","[{'name': 'The Seattle Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=AR_ea6cb82ab2fec30d4d14c92dad031a5a&pid=news'}}, '_type': 'Organization'}]",https://www.seattletimes.com/nation-world/kashmir-shuts-after-indian-troops-kill-3-civilians-1-rebel/,,,,
